regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,365,B006,Loop B,FALSE,-112.989683,37.196022,122.411764705882,2.05882352941176
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,513,D038,Loop D,FALSE,-112.985707,37.197006,93.2551724137931,1.95862068965517
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,460,D017,Loop D,FALSE,-112.986359,37.19552,101.081300813008,2.05691056910569
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,353,B007,Loop B,FALSE,-112.989321,37.195737,107.929032258065,1.90322580645161
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,411,B046R,Loop B,FALSE,-112.989917,37.195081,97.9081632653061,2.77551020408163
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,497,B005,Loop B,FALSE,-112.989374,37.195952,127.138613861386,2.35643564356436
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,MANAGEMENT,MANAGEMENT,470,D016HC,Loop D,TRUE,-112.986524,37.195652,83.8888888888889,1.84313725490196
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,491,B055R,Loop B,FALSE,-112.98955,37.193999,103.303921568627,2.74509803921569
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,449,A019,Loop A,FALSE,-112.988486,37.196894,120.869158878505,2.45794392523365
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,380,D013,Loop D,FALSE,-112.986307,37.195953,81.7294117647059,1.75294117647059
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,386,D014,Loop D,FALSE,-112.98657,37.195845,85.2165605095541,1.87261146496815
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,486,B019,Loop B,FALSE,-112.988509,37.194277,116.719696969697,2.02272727272727
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,368,A008,Loop A,FALSE,-112.98868,37.197587,107.425196850394,2.31496062992126
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,446,A009R,Loop A,FALSE,-112.988703,37.197817,110.607476635514,2.73831775700935
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,364,D027,Loop D,FALSE,-112.985441,37.196157,77.0981595092025,2.12269938650307
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,516,D035,Loop D,FALSE,-112.985519,37.196792,95.7435897435897,1.99358974358974
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,499,A010,Loop A,FALSE,-112.98883,37.1974,104.339805825243,2.86407766990291
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,495,A006,Loop A,FALSE,-112.988435,37.19773,101.762237762238,2.34965034965035
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,488,C025,Loop C,FALSE,-112.986605,37.19681,97.3311258278146,1.90066225165563
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,339,A023,Loop A,FALSE,-112.988138,37.197158,100.48031496063,2.19685039370079
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,484,A018,Loop A,FALSE,-112.988779,37.196955,119.69918699187,2.30894308943089
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,525,F012,Loop F,FALSE,-112.985414,37.198222,86.8235294117647,1.89411764705882
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,440,A005R,Loop A,TRUE,-112.988336,37.197965,128.114942528736,3.17241379310345
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,370,B013,Loop B,FALSE,-112.989184,37.194698,114.043010752688,2.66666666666667
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,347,B060,Loop B,FALSE,-112.988832,37.193998,101.379310344828,2.31724137931035
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,528,F015,Loop F,FALSE,-112.985808,37.19835,70.2956989247312,1.77956989247312
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,GROUP TENT ONLY AREA NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,336,Group Site E005,Zion Group Sites,FALSE,-112.987403,37.1955,129.630872483222,1.85906040268456
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,403,D036,Loop D,FALSE,-112.985819,37.196823,91.5114503816794,1.9236641221374
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,463,C017,Loop C,FALSE,-112.986729,37.196013,85.4303030303031,1.82424242424242
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,372,D031,Loop D,FALSE,-112.985437,37.196505,99.41875,1.78125
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,511,C022,Loop C,FALSE,-112.986627,37.196514,100.510067114094,1.79194630872483
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,400,C009,Loop C,FALSE,-112.987655,37.19657,90.8695652173913,1.65217391304348
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,429,D030,Loop D,FALSE,-112.985667,37.196316,99.843137254902,1.83660130718954
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,415,C010,Loop C,FALSE,-112.987736,37.196363,97.3355704697987,1.86577181208054
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,444,B050R,Loop B,FALSE,-112.989922,37.19474,83.2454545454546,2.69090909090909
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,390,D020,Loop D,FALSE,-112.985796,37.195535,99.6811594202899,2.09420289855072
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,475,B056R,Loop B,FALSE,-112.98935,37.19391,122.691176470588,3.27941176470588
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,450,C013,Loop C,FALSE,-112.987262,37.196135,90.6139240506329,1.92405063291139
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,383,B003,Loop B,FALSE,-112.989511,37.196096,117.421875,2
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,507,A004,Loop A,FALSE,-112.98821,37.197797,118.518796992481,2.1203007518797
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,508,B012,Loop B,FALSE,-112.989264,37.194982,111.901639344262,2.09836065573771
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,443,B009,Loop B,FALSE,-112.989358,37.19529,100.284671532847,2.10948905109489
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,341,B059,Loop B,FALSE,-112.988911,37.194201,115.3125,2.39285714285714
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,419,C028,Loop C,FALSE,-112.986832,37.196975,86.2025316455696,1.87341772151899
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,371,D012,Loop D,FALSE,-112.986534,37.196014,80.4181818181818,1.8
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,361,B049,Loop B,FALSE,-112.989675,37.194598,125.827586206897,2.35344827586207
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,382,A002,Loop A,FALSE,-112.987966,37.197834,100.691666666667,2.19166666666667
