OrgID,RegionCode,RegionDescription,ParentLocationID,ParentLocation,FacilityID,FacilityZIP,LegacyFacilityID,Park,UseType,CampsiteID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,avgBookingWindow
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,509,B035,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989102,37.195858,102.674242424242
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,473,B036,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988834,37.196132,83.216
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,359,B037,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989082,37.196097,84.9051724137931
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,395,B038,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988816,37.196401,79.4186046511628
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,407,B039,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989103,37.196271,85.212389380531
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,425,B041,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989753,37.195827,77.1020408163265
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,402,B042R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989892,37.195715,85.1418439716312
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,348,B043,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989685,37.195641,84.4803149606299
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,457,B044R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989955,37.195402,71.3852459016394
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,396,B045,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989708,37.194986,89.9302325581395
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,411,B046R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989917,37.195081,86.9178082191781
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,436,B047,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989699,37.194841,82.6231884057971
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,468,B048R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989923,37.194871,90.0833333333333
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,361,B049,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989675,37.194598,88.7674418604651
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,444,B050R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989922,37.19474,76.9243697478992
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,427,B051,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989623,37.194449,76.3725490196079
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,367,B052R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989901,37.194365,67.9548872180451
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,442,B053a,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989637,37.194326,80.0722891566265
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,437,B053b,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989614,37.194298,85.4788732394366
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,412,B053c,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989586,37.194264,90.5838926174497
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,346,B054R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989793,37.194207,86.6915887850467
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,491,B055R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.98955,37.193999,65.4895104895105
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,475,B056R,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.98935,37.19391,83.1307692307692
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,439,B057,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989258,37.194087,80.8239436619718
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,389,B058,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.989003,37.193941,77.96
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,341,B059,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988911,37.194201,89.2566371681416
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,347,B060,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988832,37.193998,86.4015748031496
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,492,B061,STANDARD ELECTRIC,Overnight,Loop B,FALSE,-112.988651,37.194143,76.5
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,369,C002,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987103,37.197167,111.478723404255
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,344,C003,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987393,37.197124,118.558659217877
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,393,C004,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.98745,37.197,107.197860962567
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,355,C005,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987272,37.196862,95.1805555555556
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,487,C006,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987533,37.196834,105.369230769231
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,356,C007,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.98735,37.196671,94.5951219512195
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,423,C008,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.98743,37.196521,102.801169590643
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,400,C009,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987655,37.19657,112.349726775956
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,415,C010,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987736,37.196363,95.7351351351351
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,384,C011,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987493,37.196306,97.1116751269036
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,510,C012,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987405,37.1962,97.6542553191489
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,450,C013,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987262,37.196135,97.5164835164835
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,424,C014,TENT ONLY NONELECTRIC,Overnight,Loop C,TRUE,-112.987491,37.196017,109.288888888889
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,366,C015,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.987275,37.195927,105.05291005291
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,360,C016HC,MANAGEMENT,Overnight,Loop C,TRUE,-112.986969,37.196066,86.9944134078212
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,463,C017,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986729,37.196013,96.9820359281437
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,426,C018,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986671,37.196171,99.4914285714286
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,458,C019,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986653,37.196327,110.98064516129
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,397,C020,TENT ONLY NONELECTRIC,Overnight,Loop C,TRUE,-112.986886,37.196367,87.4521276595745
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,447,C021,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.98686,37.196516,100.216374269006
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,511,C022,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986627,37.196514,101.769662921348
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,441,C023,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.98686,37.196658,103.576271186441
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,438,C024,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986625,37.196658,105.823529411765
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,488,C025,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986605,37.19681,98.3807106598985
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,474,C026,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986844,37.196835,102.125748502994
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,391,C027,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986593,37.196972,114.653179190751
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,419,C028,TENT ONLY NONELECTRIC,Overnight,Loop C,FALSE,-112.986832,37.196975,106.881355932203
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,398,D001,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986282,37.19708,102.594285714286
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,413,D002,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986075,37.196942,97.9766081871345
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,349,D003,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986304,37.196943,96.989010989011
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,493,D004,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986104,37.196777,92.1807228915663
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,362,D005,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986346,37.196774,108.777777777778
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,418,D006,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986144,37.196621,99.4848484848485
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,483,D008,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986187,37.196471,91.3461538461539
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,399,D009,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986417,37.196488,86.4606741573034
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,351,D010,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986457,37.196332,104.150684931507
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,428,D011,TENT ONLY NONELECTRIC,Overnight,Loop D,TRUE,-112.986269,37.196124,103.018987341772
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,371,D012,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986534,37.196014,97.8837209302326
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,380,D013,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.986307,37.195953,98.1410256410256
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,386,D014,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.98657,37.195845,103.706896551724
128,ZION-1590,Zion National Park,74324,Intermountain Region,232445,84767,70923,Watchman (UT),Overnight,342,D015,TENT ONLY NONELECTRIC,Overnight,Loop D,FALSE,-112.98633,37.195775,114.048275862069
